Freq.	V(n003)
4.29866234708227e+006	(-1.27930530238241e+002dB,-1.96954702734116e+000°)
4.64158883361277e+006	(-1.27931011731052e+002dB,-1.80416065995415e+000°)
5.01187233627272e+006	(-1.27931413600440e+002dB,-1.64939328606124e+000°)
5.41169526546463e+006	(-1.27931745318149e+002dB,-1.50433610802543e+000°)
5.84341413373517e+006	(-1.27932014704455e+002dB,-1.36813696649054e+000°)
6.30957344480192e+006	(-1.27932228111699e+002dB,-1.23999546613649e+000°)
6.81292069057960e+006	(-1.27932390573518e+002dB,-1.11915838297370e+000°)
7.35642254459640e+006	(-1.27932505923214e+002dB,-1.00491533270929e+000°)
7.94328234724280e+006	(-1.27932576884024e+002dB,-8.96594680363348e-001°)
8.57695898590893e+006	(-1.27932605133402e+002dB,-7.93559672141936e-001°)
9.26118728128792e+006	(-1.27932591342815e+002dB,-6.95204771558022e-001°)
9.99999999999999e+006	(-1.27932535194024e+002dB,-6.00952182921415e-001°)
1.07977516232771e+007	(-1.27932435372262e+002dB,-5.10248546596084e-001°)
1.16591440117983e+007	(-1.27932289536237e+002dB,-4.22561791863697e-001°)
1.25892541179417e+007	(-1.27932094264313e+002dB,-3.37378134865345e-001°)
1.35935639087852e+007	(-1.27931844975776e+002dB,-2.54199210963568e-001°)
1.46779926762207e+007	(-1.27931535825489e+002dB,-1.72539333034669e-001°)
1.58489319246111e+007	(-1.27931159569731e+002dB,-9.19228697467644e-002°)
1.71132830416178e+007	(-1.27930707400401e+002dB,-1.18817409036474e-002°)
1.84784979742229e+007	(-1.27930168744177e+002dB,6.80469694340152e-002°)
1.99526231496888e+007	(-1.27929531022539e+002dB,1.48323276942193e-001°)
2.15443469003188e+007	(-1.27928779367902e+002dB,2.29406427678434e-001°)
2.32630506715362e+007	(-1.27927896290378e+002dB,3.11756878364844e-001°)
2.51188643150958e+007	(-1.27926861288941e+002dB,3.95838101266841e-001°)
2.71227257933202e+007	(-1.27925650400051e+002dB,4.82118178779536e-001°)
2.92864456462523e+007	(-1.27924235676071e+002dB,5.71071140772904e-001°)
3.16227766016837e+007	(-1.27922584585216e+002dB,6.63177983011500e-001°)
3.41454887383360e+007	(-1.27920659324299e+002dB,7.58927287033578e-001°)
3.68694506451957e+007	(-1.27918416035317e+002dB,8.58815340176270e-001°)
3.98107170553497e+007	(-1.27915803917165e+002dB,9.63345628366093e-001°)
4.29866234708227e+007	(-1.27912764224499e+002dB,1.07302754326668e+000°)
4.64158883361277e+007	(-1.27909229147458e+002dB,1.18837410887707e+000°)
5.01187233627272e+007	(-1.27905120568761e+002dB,1.30989849038267e+000°)
5.41169526546463e+007	(-1.27900348699171e+002dB,1.43810900001146e+000°)
5.84341413373517e+007	(-1.27894810598953e+002dB,1.57350226147735e+000°)
6.30957344480192e+007	(-1.27888388602441e+002dB,1.71655413788303e+000°)
6.81292069057960e+007	(-1.27880948675956e+002dB,1.86770797071082e+000°)
7.35642254459640e+007	(-1.27872338756977e+002dB,2.02735962479432e+000°)
7.94328234724280e+007	(-1.27862387145618e+002dB,2.19583879379188e+000°)
8.57695898590893e+007	(-1.27850901048954e+002dB,2.37338600425002e+000°)
9.26118728128792e+007	(-1.27837665415243e+002dB,2.56012478009413e+000°)
1.00000000000000e+008	(-1.27822442238635e+002dB,2.75602851506442e+000°)
